TOWN;LON;LAT;MEDV;CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT
Nahant;-70.955;42.255;24;0.00632;18;2.31;0;0.5379999999999999;6.575;65.2;4.09;1;296;15.3;396.9;4.98
Swampscott;-70.95;422.875;21.6;0.02731;0;7.07;0;0.469;6.421;78.9;49.671;2;242;17.8;396.9;9.14
Swampscott;-70.936;42.283;34.7;0.02729;0;7.07;0;0.469;7.185;61.1;49.671;2;242;17.8;392.83;4.03
Marblehead;-70.928;42.293;33.4;0.03237;0;2.18;0;0.458;6.997.999.999.999.990;45.8;60.622;3;222;18.7;394.63;2.94
Marblehead;-70.922;42.298;36.2;0.06905;0;2.18;0;0.458;7.147;54.2;60.622;3;222;18.7;396.9;5.33
Marblehead;-709.165;42.303.999.999.999.900;28.7;0.02985;0;2.18;0;0.458;6.43;58.7;60.622;3;222;18.7;394.12;5.21
Salem;-70.936;42.297;22.9;0.08829;12.5;7.87;0;0.524;60.120.000.000.000.000;66.6;55.605;5;311;15.2;395.6;12.43
Salem;-709.375;42.31;22.1;0.14455;12.5;7.87;0;0.524;61.720.000.000.000.000;96.1;59.505;5;311;15.2;396.9;19.15
Salem;-70.933;42.312;16.5;0.21124;12.5;7.87;0;0.524;5.631;100;60.821;5;311;15.2;386.63;29.93
Salem;-70.929;42.316;18.9;0.17004;12.5;7.87;0;0.524;6.004;85.9;65.921;5;311;15.2;386.71;17.1
Salem;-70.935;42.316;15;0.22489;12.5;7.87;0;0.524;6.377.000.000.000.000;94.3;63.467;5;311;15.2;392.52;20.45
Salem;-70.944;42.317;18.9;0.11747;12.5;7.87;0;0.524;6.009;82.9;62.267;5;311;15.2;396.9;13.27
Salem;-7.095.100.000.000.000;42.306.000.000.000.000;21.7;0.09378;12.5;7.87;0;0.524;58.889.999.999.999.900;39;54.509;5;311;15.2;390.5;15.71
Lynn;-709.645;42.292;20.4;0.62976;0;8.14;0;0.5379999999999999;5.949;61.8;47.075;4;307;21;396.9;8.26
Lynn;-70.972;42.287;18.2;0.6379600000000001;0;8.14;0;0.5379999999999999;6.096;84.5;44.619;4;307;21;380.02;10.26
Lynn;-709.765;42.294;19.9;0.62739;0;8.14;0;0.5379999999999999;5.834;56.5;44.986;4;307;21;395.62;8.47
Lynn;-70.987;422.985;23.1;105.393;0;8.14;0;0.5379999999999999;5.935;29.3;44.986;4;307;21;386.85;6.58
Lynn;-7.097.800.000.000.000;42.285;17.5;0.7842;0;8.14;0;0.5379999999999999;5.99;81.7;42.579;4;307;21;386.75;14.67
Lynn;-709.925;422.825;20.2;0.80271;0;8.14;0;0.5379999999999999;5.456;36.6;37.965;4;307;21;288.99;11.69
Lynn;-70.988;422.776;18.2;0.7258;0;8.14;0;0.5379999999999999;5.727;69.5;37.965;4;307;21;390.95;11.28
Lynn;-709.835;42.277;13.6;125.179;0;8.14;0;0.5379999999999999;5.57;98.1;37.979;4;307;21;376.57;21.02
Lynn;-70.982;42.281.000.000.000.000;19.6;0.8520399999999999;0;8.14;0;0.5379999999999999;5.965;89.2;40.123;4;307;21;392.53;13.83
Lynn;-709.775;42.278.999.999.999.900;15.2;12.324.700.000.000.000;0;8.14;0;0.5379999999999999;6.142;91.7;39.769;4;307;21;396.9;18.72
Lynn;-70.973;42.278.999.999.999.900;14.5;0.98843;0;8.14;0;0.5379999999999999;5.813;100;40.952;4;307;21;394.54;19.88
Lynn;-709.693;422.816;15.6;0.75026;0;8.14;0;0.5379999999999999;5.924;94.1;43.996;4;307;21;394.33;16.3
Lynn;-70.964;42.284;13.9;0.84054;0;8.14;0;0.5379999999999999;5.599;85.7;44.546;4;307;21;303.42;16.51
Lynn;-709.597;42.287;16.6;0.67191;0;8.14;0;0.5379999999999999;5.813;90.3;46.819.999.999.999.900;4;307;21;376.88;14.81
Lynn;-709.597;422.825;14.8;0.95577;0;8.14;0;0.5379999999999999;60.470.000.000.000.000;88.8;44.534;4;307;21;306.38;17.28
Lynn;-70.957;42.28;18.4;0.77299;0;8.14;0;0.5379999999999999;6.495;94.4;44.547;4;307;21;387.94;12.8
Lynn;-7.095.100.000.000.000;42.278;21;100.245;0;8.14;0;0.5379999999999999;6.674;87.3;4.239;4;307;21;380.23;11.98
Lynn;-70.967;42.278.999.999.999.900;12.7;113.081;0;8.14;0;0.5379999999999999;5.712.999.999.999.990;94.1;42.330.000.000.000.000;4;307;21;360.17;22.6
Lynn;-70.964;422.765;14.5;135.472;0;8.14;0;0.5379999999999999;6.072;100;4.175;4;307;21;376.73;13.04
Lynn;-70.972;422.765;13.2;138.799;0;8.14;0;0.5379999999999999;5.95;82;3.99;4;307;21;232.6;27.71
Lynn;-709.795;42.276;13.1;115.172;0;8.14;0;0.5379999999999999;57.010.000.000.000.000;95;37.872;4;307;21;358.77;18.35
Lynn;-709.775;42.272;13.5;161.282;0;8.14;0;0.5379999999999999;6.096;96.9;37.598;4;307;21;248.31;20.34
Sargus;-71;42.27;18.9;0.06417;0;5.96;0;0.499;5.933;68.2;33.603;5;279;19.2;396.9;9.68
Sargus;-71.008;422.745;20;0.09744;0;5.96;0;0.499;5.841;61.4;33.779;5;279;19.2;377.56;11.41
Sargus;-7.100.399.999.999.990;422.865;21;0.08014;0;5.96;0;0.499;5.85;41.5;39.342;5;279;19.2;396.9;8.77
Sargus;-71.02;422.875;24.2;0.17505;0;5.96;0;0.499;5.966;30.2;38.473;5;279;19.2;393.43;10.13
Lynnfield;-71.013;42.313;30.8;0.02763;75;2.95;0;0.428;6.595;21.8;54.011;3;252;18.3;395.63;4.32
Lynnfield;-71.03;42.324;34.9;0.033589999999999995;75;2.95;0;0.428;7.024;15.8;54.011;3;252;18.3;395.62;1.98
Peabody;-7.100.399.999.999.990;42.335;26.6;0.12744;0;6.91;0;0.448;6.77;2.9;57.209;3;233;17.9;385.41;4.84
Peabody;-71.003;423.235;25.3;0.1415;0;6.91;0;0.448;6.169;6.6;57.209;3;233;17.9;383.37;5.81
Peabody;-709.775;423.237;24.7;0.15936;0;6.91;0;0.448;6.211;6.5;57.209;3;233;17.9;394.46;7.44
Peabody;-709.675;42.317;21.2;0.12269;0;6.91;0;0.448;6.069;40;57.209;3;233;17.9;389.39;9.55
Peabody;-709.725;423.075;19.3;0.17142000000000002;0;6.91;0;0.448;5.682;33.8;51.004;3;233;17.9;396.9;10.21
Peabody;-70.965;423.075;20;0.18836;0;6.91;0;0.448;57.860.000.000.000.000;33.3;51.004;3;233;17.9;396.9;14.15
Peabody;-70.956;423.125;16.6;0.22927;0;6.91;0;0.448;6.03;85.5;56.894;3;233;17.9;392.74;18.8
Peabody;-70.955;423.165;14.4;0.25387;0;6.91;0;0.448;5.399;95.3;5.87;3;233;17.9;396.9;30.81
Peabody;-709.525;423.208;19.4;0.21977;0;6.91;0;0.448;5.602;62;60.877;3;233;17.9;396.9;16.2
Danvers;-7.095.100.000.000.000;42.333.999.999.999.900;19.7;0.08872999999999999;21;5.64;0;0.439;5.962.999.999.999.990;45.7;68.147;4;243;16.8;395.56;13.45
Danvers;-7.096.300.000.000.000;423.382;20.5;0.04337;21;5.64;0;0.439;6.115;63;68.147;4;243;16.8;393.97;9.43
Danvers;-70.958;42.346.000.000.000.000;25;0.0536;21;5.64;0;0.439;6.511;21.1;68.147;4;243;16.8;396.9;5.28
Danvers;-7.097.800.000.000.000;423.425;23.4;0.04981;21;5.64;0;0.439;5.997.999.999.999.990;21.4;68.147;4;243;16.8;396.9;8.43
Middleton;-710.175;423.715;18.9;0.0136;75;4;0;0.41;5.888;47.6;73.197;3;469;21.1;396.9;14.8
Topsfield;-709.625;42.381;35.4;0.01311;90;1.22;0;0.403;7.249;21.9;86.966;5;226;17.9;395.93;4.81
Hamilton;-70.93;42.373.999.999.999.900;24.7;0.02055;85;0.74;0;0.41;6.382.999.999.999.990;35.7;91.876;2;313;17.3;396.9;5.77
Wenham;-709.295;423.715;31.6;0.01432;100;1.32;0;0.411;6.816;40.5;83.248;5;256;15.1;392.9;3.95
Beverly;-709.385;42.346.000.000.000.000;23.3;0.15445;25;5.13;0;0.453;6.145;29.2;78.148;8;284;19.7;390.68;6.86
Beverly;-70.94;42.332;19.6;0.10328;25;5.13;0;0.453;59.270.000.000.000.000;47.2;6.932;8;284;19.7;396.9;9.22
Beverly;-70.93;42.336.999.999.999.900;18.7;0.14932;25;5.13;0;0.453;57.410.000.000.000.000;66.2;72.254;8;284;19.7;395.11;13.15
Beverly;-70.93;423.275;16;0.17171;25;5.13;0;0.453;5.966;93.4;68.185;8;284;19.7;378.08;14.44
Beverly;-709.215;42.332;22.2;0.11027;25;5.13;0;0.453;6.456;67.8;72.255;8;284;19.7;396.9;6.73
Beverly;-709.075;42.339;25;0.1265;25;5.13;0;0.453;67.620.000.000.000.000;43.4;79.809;8;284;19.7;395.58;9.5
Manchester;-70.86;42.345;33;0.01951;17.5;1.38;0;0.4161;7.104;59.5;92.229;3;216;18.6;393.24;8.05
North Reading;-71.045;42.345;23.5;0.03584;80;3.37;0;0.398;6.29;17.8;66.115;4;337;16.1;396.9;4.67
North Reading;-71.069;423.525;19.4;0.04379;80;3.37;0;0.398;5.787.000.000.000.000;31.1;66.115;4;337;16.1;396.9;10.24
Wilmington;-71.09;423.362;22;0.05789;12.5;6.07;0;0.409;5.877.999.999.999.990;21.4;6.497.999.999.999.990;4;345;18.9;396.21;8.1
Wilmington;-71.108;42.34;17.4;0.13554000000000002;12.5;6.07;0;0.409;55.939.999.999.999.900;36.8;6.497.999.999.999.990;4;345;18.9;396.9;13.09
Wilmington;-71.111;42.327;20.9;0.12816;12.5;6.07;0;0.409;5.885;33;6.497.999.999.999.990;4;345;18.9;396.9;8.79
Burlington;-7.112.100.000.000.000;42.316;24.2;0.08826;0;10.81;0;0.413;6.417.000.000.000.000;6.6;52.873;4;305;19.2;383.73;6.72
Burlington;-711.095;423.008;21.7;0.15875999999999998;0;10.81;0;0.413;5.961;17.5;52.873;4;305;19.2;376.94;9.88
Burlington;-71.13;42.305;22.8;0.09164;0;10.81;0;0.413;6.065;7.8;52.873;4;305;19.2;390.91;5.52
Burlington;-71.123;42.292;23.4;0.19539;0;10.81;0;0.413;6.245;6.2;52.873;4;305;19.2;377.17;7.54
Woburn;-711.105;42.288.999.999.999.900;24.1;0.07896;0;12.83;0;0.4370000000000001;6.273;6;42.515;5;398;18.7;394.92;6.78
Woburn;-71.1;422.875;21.4;0.09512;0;12.83;0;0.4370000000000001;62.860.000.000.000.000;45;45.026;5;398;18.7;383.23;8.94
Woburn;-71.09;422.835;20;0.10153;0;12.83;0;0.4370000000000001;6.279;74.5;40.522;5;398;18.7;373.66;11.97
Woburn;-7.107.600.000.000.000;422.895;20.8;0.08707000000000001;0;12.83;0;0.4370000000000001;6.14;45.8;40.905;5;398;18.7;386.96;10.27
Woburn;-710.905;42.295;21.2;0.05646;0;12.83;0;0.4370000000000001;6.232;53.7;50.141;5;398;18.7;386.4;12.34
Woburn;-7.109.100.000.000.000;42.305;20.3;0.08387;0;12.83;0;0.4370000000000001;5.874;36.6;45.026;5;398;18.7;396.06;9.1
Reading;-710.685;42.308;28;0.04113;25;4.86;0;0.426;6.727;33.5;54.007;4;281;19;396.9;5.29
Reading;-71.069;42.315;23.9;0.04462;25;4.86;0;0.426;6.619;70.4;54.007;4;281;19;395.63;7.22
Reading;-710.675;42.326;24.8;0.03659;25;4.86;0;0.426;63.020.000.000.000.000;32.2;54.007;4;281;19;396.9;6.72
Reading;-710.575;42.317;22.9;0.03551;25;4.86;0;0.426;6.167.000.000.000.000;46.7;54.007;4;281;19;390.64;7.51
Wakefield;-71.043;423.075;23.9;0.05059;0;4.49;0;0.449;63.889.999.999.999.900;48;47.794;3;247;18.5;396.9;9.62
Wakefield;-71.05;42.3;26.6;0.05735;0;4.49;0;0.449;6.63;56.1;44.377;3;247;18.5;392.3;6.53
Wakefield;-71.033;42.305;22.5;0.05188;0;4.49;0;0.449;6.015;45.1;44.272;3;247;18.5;395.99;12.86
Wakefield;-71.039;422.885;22.2;0.07151;0;4.49;0;0.449;6.121;56.8;37.476;3;247;18.5;395.15;8.44
